Class,Average Difficulty
ETST131,3.00
ETST106,3.00
ETST102,1.00
ETST098,4.00
ETST014,5.00
ETST012H,3.00
ETST012,2.00
ETST011,4.00
ETST007,2.00
ETST005,3.50
ETST003,7.00
ETST002,5.08
ETST001,2.63
ENVE171,6.00
ENTM162,See BIOL162
ENTM126,4.00
ENTM100,5.00
ENTM060W,3.50
ENTM020,1.00
ENTM020,4.00
ENTM010,7.75
ENSC120,6.00
ENSC105,5.00
ENSC100,4.50
ENSC006,5.80
ENSC002,6.00
ENSC001,2.00
ENGR180W,3.54
ENGR171,1.00
ENGR118,4.00
ENGR109,See HIST109
ENGR108,See HIST108
ENGR101,2.50
ENGR001,1.17
ENGL128X,4.00
ENGL102W,8.00
ENGL020C,3.00
ENGL020B,3.00
ENGL020A,5.00
ENGL01PL,4.00
ENGL017,2.00
ENGL012R,3.00
ENGL012I,2.00
ENGL012B,2.00
ENGL012A,3.00
ENGL004,6.22
ENGL001C,5.29
ENGL001B,5.00
ENGL001A,4.67
EE252,2.00
EE144,8.00
EE141,7.00
EE139,6.00
EE138,5.00
EE132,5.00
EE128,3.00
EE123,8.00
EE120B,7.04
EE120A,4.50
EE116,8.00
EE115,8.00
EE114,5.00
EE110B,7.00
EE110A,4.00
EE105,7.67
EE100B,6.00
EE100A,5.50
EE020,5.77
EE010,2.00
EE003,10.00
EE001B,6.60
EE001A,7.73
EDUC154,3.00
EDUC152,3.00
EDUC150,2.00
EDUC105,3.00
EDUC104,5.00
EDUC061,3.25
EDUC051,1.00
EDUC050,5.00
EDUC049,2.00
EDUC040,4.00
EDUC023,5.00
EDUC010,1.67
EDUC005,2.75
ECON178,4.00
ECON171,6.00
ECON162,6.67
ECON143,3.00
ECON135,6.00
ECON129,5.00
ECON107,6.00
ECON105A,5.00
ECON104B,6.00
ECON104A,6.00
ECON103,6.57
ECON102,3.00
ECON101,5.00
ECON006,4.67
ECON003H,1.00
ECON003,3.89
ECON002,3.92
DNCE065A,3.00
DNCE007W,4.50
DNCE007,6.00
DNCE005,2.83
CS242,3.00
CS240,3.00
CS236,7.00
CS229,9.00
CS226,4.00
CS218,9.00
CS206,10.00
CS205,5.00
CS203,7.00
CS201,6.00
CS183,4.00
CS182,6.00
CS181,9.00
CS180,6.00
CS179N,2.00
CS179G,4.00
CS179F,2.00
CS179E,10.00
CS175,3.50
CS172,5.67
CS171,9.73
CS170,4.40
CS169,10.00
CS168,5.00
CS167,6.00
CS166,8.60
CS165,9.60
CS164,8.00
CS161L,3.00
CS161,4.42
CS160,4.50
CS153,6.56
CS152,7.23
CS150,6.46
CS144,6.00
CS141,8.56
CS135,6.67
CS130,8.11
CS122A,4.00
CS120B,See EE120B
CS120A,See EE120A
CS111,7.78
CS110,7.00
CS105,6.00
CS100,7.15
CS061,6.70
CS013,5.00
CS011,See MATH011
CS010V,5.00
CS010C,7.84
CS010B,6.68
CS010A,3.21
CS009C,6.00
CS008,2.53
CS006,3.60
CS005,4.00
CRWT066,See TFDP066
CRWT057C,5.00
CRWT056,2.46
CRWT047S,3.50
CRWT046S,3.50
CPLT110,2.00
CPLT070,8.50
CPLT062,3.00
CPLT025,3.00
CPLT023,4.50
CPLT017C,6.00
CPLT017A,7.00
CPLT002,8.00
CLA112,5.00
CLA040,3.33
CLA012C,5.00
CLA010C,4.00
CLA010B,4.40
CLA010A,4.00
CHN132,6.00
CHN101A,4.00
CHN046,3.00
CHN020B,3.00
CHN020A,4.00
CHEM150A,7.00
CHEM125W,6.00
CHEM111,6.50
CHEM110B,5.00
CHEM110A,5.40
CHEM109,9.00
CHEM08LC,6.50
CHEM08LB,5.25
CHEM08LA,5.86
CHEM01LC,7.17
CHEM01LB,3.25
CHEM01LA,3.11
CHEM008C,7.00
CHEM008B,8.00
CHEM008A,7.04
CHEM005,6.00
CHEM001C,6.07
CHEM001B,5.75
CHEM001A,5.66
CHE160A,4.00
CHE135,4.00
CHE130,6.00
CHE122,8.00
CHE120,8.33
CHE116,7.00
CHE114,7.00
CHE110B,8.00
CHE110A,4.00
CHE105,4.00
CHE100,6.33
CEE158,2.00
CEE135,6.00
CEE010,1.00
CBNS150,10.00
CBNS128,5.00
CBNS125,8.00
CBNS124,7.67
CBNS121,4.00
CBNS120L,5.50
CBNS120,9.00
CBNS116,8.00
CBNS106,6.67
CBNS101,6.33
BUS179,2.00
BUS175,1.00
BUS173,4.00
BUS171,5.00
BUS165B,5.00
BUS165A,9.00
BUS157,6.00
BUS155,6.00
BUS154,6.00
BUS149,3.00
BUS146,3.00
BUS145,4.00
BUS143,3.50
BUS136,5.00
BUS132,8.00
BUS127,4.00
BUS126,7.00
BUS125,7.50
BUS124,8.00
BUS121,2.00
BUS110,3.00
BUS109,5.00
BUS108,5.00
BUS107,7.50
BUS106,6.20
BUS105,5.67
BUS104,5.67
BUS103,6.00
BUS102,6.33
BUS101,3.43
BUS100W,5.57
BUS020,6.31
BUS010,4.20
BSWT003,7.50
BSWT002,3.00
BSWT001,3.00
BPSC143,6.00
BPSC132,6.00
BPSC104,7.00
BPSC011,1.50
BIOL178,6.00
BIOL176,4.00
BIOL174,7.00
BIOL171A,8.00
BIOL163,5.50
BIOL162,1.50
BIOL161A,7.00
BIOL157,5.67
BIOL155,10.00
BIOL132,See BPSC132
BIOL128,10.00
BIOL127,4.00
BIOL121L,5.00
BIOL121,4.33
BIOL119,6.75
BIOL116,4.83
BIOL115,8.00
BIOL108,7.00
BIOL107A,7.40
BIOL105,5.00
BIOL104,See BPSC104
BIOL102,6.80
BIOL05LB,4.33
BIOL05LA,5.33
BIOL040,3.00
BIOL030,4.00
BIOL020,6.40
BIOL005C,4.93
BIOL005B,7.80
BIOL005A,6.44
BIOL003,5.50
BIOL002,3.00
BIEN140A,1.00
BIEN138,9.00
BIEN135,2.00
BIEN125,3.00
BIEN105,9.00
BIEN010,1.50
BIEN001,1.00
BCH110C,6.50
BCH110B,5.50
BCH110A,8.25
BCH100A,8.00
BCH100,5.40
BCH096,1.00
BCH095,1.00
BCH015,2.67
BCH010,1.00
AST046,See CHN046
AST023,See CPLT023
ART010,1.00
ART006,1.00
ART005,4.00
ART003,1.00
ART002,2.50
ART001,3.00
ARC072,2.00
ANTH165G,3.00
ANTH155,6.00
ANTH153,5.00
ANTH140G,2.00
ANTH132,9.00
ANTH127S,2.00
ANTH120,2.00
ANTH118,7.00
ANTH115S,9.00
ANTH115R,6.50
ANTH104,4.00
ANTH100,4.00
ANTH020S,3.00
ANTH020,6.00
ANTH007S,2.00
ANTH006,See MUS006
ANTH005,3.70
ANTH003,4.20
ANTH002,4.00
ANTH001,2.88
AHS165,1.00
AHS028,6.33
AHS023,5.00
AHS021,3.00
AHS017B,4.00
AHS010S,4.00
AHS008,1.00
